Feature,real,fake,MeanDecreaseAccuracy,MeanDecreaseGini
sourc,32.67392916112571,25.10939399314979,34.16525345052057,247.69587939190288
rumor,28.881074593461307,4.949725038863355,25.855970951372736,105.72681250791312
season,14.3639818705682,24.502987000931185,22.92346513820383,74.34472137863477
close,21.764596294768147,11.778047967618296,22.83484747097753,88.64541405663559
emphas,18.047744533845147,22.267948199078077,22.065265504841673,47.82307722854949
showcas,15.00333933303518,20.669561427050763,20.786291974357137,53.87511000011433
episod,12.308572256107086,17.715420522372927,18.153916399045197,42.3484951237788
report,18.63598682143249,2.9476001285212976,17.99750560151238,66.97218967066382
insid,18.466017368051737,7.390654587784199,17.09906550540102,48.39893422975735
mani,17.77310940575211,2.223290286958106,16.09812600095443,20.635955393773337
captiv,11.78311971861969,14.817954280214853,15.287792900318768,22.94829457721928
share,11.292378626068656,14.303216884009313,15.24909064604342,37.96009725755404
specul,17.846077914980683,-3.5237357657002866,15.101852690364195,27.671669664852168
express,10.26851966081125,13.264761231012152,14.600871131914683,22.74245390493296
said,14.626402724092548,-1.7816726825383673,14.57416702200764,19.93670207258544
e,8.139534103119466,13.993282433123628,14.541730265248418,17.04666048526373
kardashian,14.42609987873463,7.04528078820523,14.539471298562606,19.033942019297555
pitt,14.213616507358717,6.406694999804334,14.140608733041498,32.777971550380066
claim,14.892166855784042,-2.983118330969043,14.10557902911342,27.25873546813847
seri,9.113680495595716,13.92366913830548,14.09057535725897,32.573429065808156
brad,14.277098659159131,5.475162962799924,13.63949996922042,28.11177360485702
jennif,15.09239563768338,3.515005430940483,13.592633367991128,14.619195021146762
video,8.796140282303858,12.368365669790007,13.586061071884048,23.129708569534717
media,13.438163496698053,4.571861482353723,13.20657711234816,19.246465207143963
thursday,6.251454835519935,12.601898696064278,13.09746937201839,10.71817448930083
trump,9.25307560230163,11.714847756718523,13.08176653279499,11.263714209662558
exclus,15.900160584209733,3.741432465833219,13.043272440132222,13.784517211915432
monday,4.299169013258151,13.062347169976295,12.865160102300171,12.250999996871288
sunday,4.36493209791158,13.903702850016147,12.825796650748446,13.344054754790593
view,8.472806690991037,11.211125712766767,12.352736888822587,7.79269406903681
caitlyn,12.711729577086516,5.983464304398835,12.351519463112911,5.458882954469834
jenner,13.706548076863152,1.7961105111635884,12.263535706469549,12.28395480155684
tuesday,5.670669023562681,12.42307148464292,12.242590958132531,10.589624796155787
instagram,6.07650109825211,11.378995944927231,12.127848465356909,16.946414962113185
show,9.596173882231572,9.767230439132758,12.089419077584267,36.29560050457492
tabloid,12.983344115332992,-0.24421287417064488,12.022630711373653,14.449439336416964
return,2.9243541296647297,12.970870585124922,11.971708393152802,21.834697839251582
angelina,12.275323010119129,5.291838467224931,11.86086384256075,20.85330145654883
mark,3.2597859022586633,12.336580616974294,11.794586846405666,18.218660766503824
relationship,13.427441598167396,-3.916441456763468,11.732227413927305,24.068757441022797
justin,12.7418729986806,4.16577336223028,11.708191829774789,15.488337462190731
captur,5.296292110720226,12.157938664109208,11.663824391804944,13.252508600855064
addit,4.590935326619486,12.214773990268796,11.571703624220191,16.948665595047846
gwen,11.8243434556034,7.08324819165116,11.521328683007956,7.590432709523854
stefani,11.888277350893276,7.006148241820426,11.461064618973973,7.430387722799856
aniston,12.289203530814309,0.3572996452437531,11.455259985945172,13.38671856128946
joli,11.462012311519644,5.414352458319944,11.308968886050412,20.71778160558515
shelton,10.408424847507955,7.819215531904353,11.291525325623956,8.165801282347635
gossip,11.674337342029638,3.250090881367867,11.15328877923987,13.268497159775755
first,3.319493172370928,11.82218602309219,11.087559460656264,17.97725326544906
journey,6.071650357899208,11.261008668192169,10.93629465701186,16.885375899622343
signific,6.249208359514177,10.593631105654806,10.886338889109604,12.127547964294674
