subclass,n,Accuracy,Predicted_Fake_Rate,Mean_Prob_Fake
HF,699,0.7067238912732475,0.7067238912732475,0.6297739628040058
MF,699,0.9084406294706724,0.9084406294706724,0.7736080114449213
HR,699,0.8583690987124464,0.14163090128755365,0.36402575107296137
MR,699,0.9198855507868383,0.08011444921316166,0.2862889842632332
