Model,Zero_Acc,FewShot_Acc,Delta,McNemar_p
GPT-4o-mini,0.6870529327610873,0.7060085836909872,0.018955650929899925,0.031269988202571916
Claude Haiku 4.5,0.7142346208869814,0.7303290414878397,0.016094420600858306,0.010675689620791719
Gemini 2.5 Flash,0.6784692417739628,0.7378397711015737,0.05937052932761089,6.4267531860801975e-18
