group,n,Accuracy,Precision,Recall,F1,Balanced_Accuracy
Full (<=512 tokens),1957,0.8967807869187532,0.8873483535528596,0.9343065693430657,0.9102222222222223,0.891659672592555
Truncated (>512 tokens),839,0.8081048867699643,0.7439446366782007,0.7119205298013245,0.727580372250423,0.7870589613624872
