subclass,n,Accuracy,Predicted_Fake_Rate,Mean_Prob_Fake
HF,699,0.7525035765379113,0.7525035765379113,0.7459278856038054
MF,699,0.821173104434907,0.821173104434907,0.8237841570351284
HR,699,0.8011444921316166,0.1988555078683834,0.20565520473893212
MR,699,0.8669527896995708,0.13304721030042918,0.14158287272219128
