subclass,n,Accuracy,Predicted_Fake_Rate,Mean_Prob_Fake
HF,699,0.7639484978540773,0.7639484978540773,0.7254010736295989
MF,699,0.9384835479256081,0.9384835479256081,0.8791218117902061
HR,699,0.7339055793991416,0.26609442060085836,0.313593625810926
MR,699,0.899856938483548,0.10014306151645208,0.14773045757811984
