subclass,n,Accuracy,Predicted_Fake_Rate,Mean_Prob_Fake
HF,699,0.7868383404864091,0.7868383404864091,0.7793876295379113
MF,699,0.9856938483547926,0.9856938483547926,0.9773832149527897
HR,699,0.7925608011444921,0.20743919885550788,0.23652847856294706
MR,699,0.9155937052932761,0.0844062947067239,0.10471150744420601
