loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_fake,eval_precision_fake,eval_recall_fake,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6899702453613281,6.525511741638184,6.20253164556962e-06,0.09523809523809523,50,,,,,,,,,,,,,,
0.5842823791503906,8.611268997192383,1.2531645569620255e-05,0.19047619047619047,100,,,,,,,,,,,,,,
0.4921144104003906,8.710188865661621,1.886075949367089e-05,0.2857142857142857,150,,,,,,,,,,,,,,
0.46819347381591797,8.31533432006836,1.942131263232181e-05,0.38095238095238093,200,,,,,,,,,,,,,,
0.41545013427734373,6.549519062042236,1.8715596330275232e-05,0.47619047619047616,250,,,,,,,,,,,,,,
0.38641311645507814,9.612629890441895,1.8009880028228654e-05,0.5714285714285714,300,,,,,,,,,,,,,,
0.3722385406494141,17.50545310974121,1.7304163726182076e-05,0.6666666666666666,350,,,,,,,,,,,,,,
0.3586335372924805,7.346351623535156,1.65984474241355e-05,0.7619047619047619,400,,,,,,,,,,,,,,
0.363582878112793,4.48130464553833,1.5892731122088923e-05,0.8571428571428571,450,,,,,,,,,,,,,,
0.31639871597290037,8.82121467590332,1.5187014820042344e-05,0.9523809523809523,500,,,,,,,,,,,,,,
,,,1.0,525,0.3099350333213806,0.8590844062947067,0.8590583728198407,0.8609738884968243,0.8495821727019499,0.8726752503576538,24.2682,115.213,3.626,,,,,
0.32130142211914064,12.806191444396973,1.4481298517995768e-05,1.0476190476190477,550,,,,,,,,,,,,,,
0.24049999237060546,6.905454158782959,1.377558221594919e-05,1.1428571428571428,600,,,,,,,,,,,,,,
0.2718153762817383,11.715165138244629,1.3069865913902613e-05,1.2380952380952381,650,,,,,,,,,,,,,,
0.22722724914550782,6.353435039520264,1.2364149611856035e-05,1.3333333333333333,700,,,,,,,,,,,,,,
0.2490694808959961,4.853821754455566,1.1658433309809458e-05,1.4285714285714286,750,,,,,,,,,,,,,,
0.28324064254760745,5.89056921005249,1.0952717007762882e-05,1.5238095238095237,800,,,,,,,,,,,,,,
0.30003742218017576,9.565688133239746,1.0247000705716303e-05,1.619047619047619,850,,,,,,,,,,,,,,
0.23672069549560548,5.4537458419799805,9.541284403669727e-06,1.7142857142857144,900,,,,,,,,,,,,,,
0.26842748641967773,3.4238431453704834,8.835568101623149e-06,1.8095238095238095,950,,,,,,,,,,,,,,
0.23300901412963868,1.3030459880828857,8.129851799576572e-06,1.9047619047619047,1000,,,,,,,,,,,,,,
0.23262454986572265,25.05362319946289,7.424135497529994e-06,2.0,1050,,,,,,,,,,,,,,
,,,2.0,1050,0.3156803548336029,0.8776824034334764,0.8776823408478189,0.8777698355968548,0.8771428571428571,0.8783977110157367,24.1981,115.546,3.637,,,,,
0.16717479705810548,7.696661472320557,6.718419195483416e-06,2.0952380952380953,1100,,,,,,,,,,,,,,
0.17451690673828124,8.707377433776855,6.012702893436839e-06,2.1904761904761907,1150,,,,,,,,,,,,,,
0.16115989685058593,16.35286521911621,5.3069865913902615e-06,2.2857142857142856,1200,,,,,,,,,,,,,,
0.1484946823120117,1.5516916513442993,4.601270289343685e-06,2.380952380952381,1250,,,,,,,,,,,,,,
0.17197025299072266,5.021821022033691,3.8955539872971075e-06,2.4761904761904763,1300,,,,,,,,,,,,,,
0.17354795455932617,7.800995349884033,3.1898376852505296e-06,2.571428571428571,1350,,,,,,,,,,,,,,
0.1118643569946289,2.5610055923461914,2.4841213832039522e-06,2.6666666666666665,1400,,,,,,,,,,,,,,
0.15786564826965332,1.8008761405944824,1.778405081157375e-06,2.761904761904762,1450,,,,,,,,,,,,,,
0.1717972946166992,12.611083030700684,1.0726887791107976e-06,2.857142857142857,1500,,,,,,,,,,,,,,
0.1861338996887207,5.7671942710876465,3.6697247706422023e-07,2.9523809523809526,1550,,,,,,,,,,,,,,
,,,3.0,1575,0.40708258748054504,0.8719599427753935,0.8719221958125281,0.8741209563994374,0.859612724757953,0.8891273247496424,24.1765,115.65,3.64,,,,,
,,,3.0,1575,,,,,,,,,,810.7326,31.053,1.943,6623656374278400.0,0.285943120320638
